Shuffle seed: 42

Original order:
ID: 1, User: 1, Conv: 459, Movie: Central Intelligence (2016)
ID: 2, User: 1, Conv: 459, Movie: Blue Streak  (1999)
ID: 3, User: 1, Conv: 461, Movie: Avatar  (2004)
ID: 4, User: 1, Conv: 461, Movie: Star Wars
ID: 5, User: 1, Conv: 467, Movie: The Princess Bride  (1987)
ID: 6, User: 1, Conv: 467, Movie: Office Christmas Party (2016)
ID: 7, User: 1, Conv: 507, Movie: Star Wars
ID: 8, User: 1, Conv: 507, Movie: Wonder Woman  (2017)
ID: 9, User: 1, Conv: 507, Movie: Green Lantern  (2011)
ID: 10, User: 1, Conv: 512, Movie: Interstellar  (2014)
ID: 11, User: 1, Conv: 512, Movie: Spider-Man: Homecoming (2017)
ID: 12, User: 1, Conv: 512, Movie: John Wick: Chapter 2 (2017)
ID: 13, User: 1, Conv: 512, Movie: Arrival  (2016)
ID: 14, User: 1, Conv: 3230, Movie: Star Trek Beyond (2016)
ID: 15, User: 1, Conv: 3230, Movie: Stardust  (2007)
ID: 16, User: 1, Conv: 3230, Movie: Pan  (1922)
ID: 17, User: 1, Conv: 3247, Movie: Lara Croft: Tomb Raider (2001)
ID: 18, User: 1, Conv: 3247, Movie: Indiana Jones and the Kingdom of the Crystal Skull (2008)
ID: 19, User: 1, Conv: 3247, Movie: Office Christmas Party (2016)
ID: 20, User: 1, Conv: 3247, Movie: Bad Moms (2016)
ID: 21, User: 1, Conv: 4343, Movie: Superbad  (2007)
ID: 22, User: 1, Conv: 4343, Movie: Half Baked (1998)
ID: 23, User: 1, Conv: 4343, Movie: Knocked Up (2007)
ID: 24, User: 1, Conv: 4695, Movie: Groundhog Day  (1993)
ID: 25, User: 1, Conv: 4695, Movie: Bad Santa (2003)
ID: 26, User: 1, Conv: 4695, Movie: Horrible Bosses (2011)
ID: 27, User: 4, Conv: 558, Movie: Deadpool  (2016)
ID: 28, User: 4, Conv: 558, Movie: Just Friends (2005)
ID: 29, User: 4, Conv: 560, Movie: Bad Moms (2016)
ID: 30, User: 4, Conv: 2323, Movie: Seven Brides for Seven Brothers (1954)
ID: 31, User: 4, Conv: 2440, Movie: Sing  (2016)
ID: 32, User: 4, Conv: 2440, Movie: Planes  (2013)
ID: 33, User: 4, Conv: 3276, Movie: The Lego Movie (2014)
ID: 34, User: 4, Conv: 3276, Movie: The Incredibles (2004)
ID: 35, User: 4, Conv: 3276, Movie: Moana  (2016)
ID: 36, User: 4, Conv: 3276, Movie: Finding Nemo (2003)
ID: 37, User: 4, Conv: 3385, Movie: Despicable Me 2 (2013)
ID: 38, User: 4, Conv: 3385, Movie: Bambi  (2013)
ID: 39, User: 4, Conv: 3385, Movie: The Secret Life of Pets (2016)
ID: 40, User: 4, Conv: 3394, Movie: The Other Guys (2010)
ID: 41, User: 4, Conv: 3396, Movie: Grown-Ups
ID: 42, User: 4, Conv: 3396, Movie: Hotel Transylvania (2012)
ID: 43, User: 4, Conv: 3436, Movie: Ace Ventura: Pet Detective (1994)
ID: 44, User: 4, Conv: 3436, Movie: National Treasure  (2004)
ID: 45, User: 4, Conv: 3436, Movie: The Notebook (2013)
ID: 46, User: 4, Conv: 3438, Movie: The Secret Life of Pets (2016)
ID: 47, User: 4, Conv: 3438, Movie: How to Train Your Dragon 
ID: 48, User: 4, Conv: 3438, Movie: Moana  (2016)
ID: 49, User: 4, Conv: 3446, Movie: Miss Congeniality  (2000)
ID: 50, User: 4, Conv: 3450, Movie: The Secret Life of Pets (2016)
ID: 51, User: 4, Conv: 3450, Movie: Sing  (2016)
ID: 52, User: 4, Conv: 3450, Movie: Tangled (2010)
ID: 53, User: 4, Conv: 3718, Movie: The Ref (1994)
ID: 54, User: 4, Conv: 3718, Movie: Ride Along  (2014)
ID: 55, User: 4, Conv: 3718, Movie: Pixels  (2015)
ID: 56, User: 4, Conv: 3743, Movie: Wonder Woman  (2017)
ID: 57, User: 4, Conv: 3743, Movie: Batman  (1989)
ID: 58, User: 4, Conv: 3743, Movie: Logan  (2017)
ID: 59, User: 4, Conv: 3743, Movie: Megamind (2010)
ID: 60, User: 4, Conv: 3749, Movie: Frozen (2013)
ID: 61, User: 4, Conv: 3749, Movie: Sleeping Beauty  (1942)
ID: 62, User: 4, Conv: 3749, Movie: Mulan (1998)
ID: 63, User: 4, Conv: 3751, Movie: National Lampoon's Vacation 
ID: 64, User: 4, Conv: 3856, Movie: The Avengers  (2012)
ID: 65, User: 4, Conv: 3856, Movie: X-Men: The Last Stand (2006)
ID: 66, User: 4, Conv: 3927, Movie: Can't Buy Me Love  (1987)
ID: 67, User: 4, Conv: 3934, Movie: Can't Buy Me Love  (1987)
ID: 68, User: 4, Conv: 3943, Movie: The Notebook (2004)
ID: 69, User: 4, Conv: 3943, Movie: Robin Hood: Men in Tights (1993)
ID: 70, User: 7, Conv: 411, Movie: Get Out (2017)
ID: 71, User: 7, Conv: 411, Movie: Girls Trip (2017)
ID: 72, User: 7, Conv: 1955, Movie: The Big Sick (2017)
ID: 73, User: 7, Conv: 1955, Movie: Annabelle 2 (2017)
ID: 74, User: 7, Conv: 1958, Movie: The Ring  (2002)
ID: 75, User: 7, Conv: 1958, Movie: The Conjuring (2013)
ID: 76, User: 7, Conv: 1958, Movie: The Babadook (2014)
ID: 77, User: 7, Conv: 1962, Movie: Baywatch  (2017)
ID: 78, User: 7, Conv: 1962, Movie: Girls Trip (2017)
ID: 79, User: 7, Conv: 1962, Movie: The House  (2017)
ID: 80, User: 7, Conv: 5720, Movie: The Big Sick (2017)
ID: 81, User: 7, Conv: 5879, Movie: Get Out (2017)
ID: 82, User: 7, Conv: 5879, Movie: Martyrs  (2016)
ID: 83, User: 7, Conv: 5879, Movie: Insidious  (2011)
ID: 84, User: 7, Conv: 5879, Movie: Halloween  (1978)
ID: 85, User: 7, Conv: 5879, Movie: Stitches  (2011)
ID: 86, User: 7, Conv: 5882, Movie: Borat (2006)
ID: 87, User: 7, Conv: 5882, Movie: Ted  (2012)
ID: 88, User: 7, Conv: 5882, Movie: Ted 2 (2015)
ID: 89, User: 7, Conv: 5882, Movie: Deadpool  (2016)
ID: 90, User: 7, Conv: 5890, Movie: Star Wars: Episode VIII – The Last Jedi (2017)
ID: 91, User: 7, Conv: 5890, Movie: Black Panther (2018)
ID: 92, User: 7, Conv: 5890, Movie: Guardians of the Galaxy Vol. 2 (2017)
ID: 93, User: 7, Conv: 5890, Movie: Dr. Strange 
ID: 94, User: 7, Conv: 5890, Movie: Ant-Man  (2015)
ID: 95, User: 7, Conv: 8121, Movie: Mike and Dave Need Wedding Dates (2016)
ID: 96, User: 7, Conv: 8121, Movie: 21 Jump Street  (2012)
ID: 97, User: 7, Conv: 8121, Movie: 22 Jump Street (2014)
ID: 98, User: 7, Conv: 8929, Movie: The Ring  (2002)
ID: 99, User: 7, Conv: 8929, Movie: The Babadook (2014)
ID: 100, User: 7, Conv: 8929, Movie: The Sixth Sense (1999)
ID: 101, User: 7, Conv: 8933, Movie: The Big Sick (2017)
ID: 102, User: 7, Conv: 8933, Movie: Crazy, Stupid, Love (2011)
ID: 103, User: 7, Conv: 8933, Movie: The Boss Baby (2017)
ID: 104, User: 7, Conv: 8933, Movie: Bridesmaids  (2011)
ID: 105, User: 7, Conv: 8974, Movie: Happy Death Day  (2017)
